Time,Amplitude,Frequency,Device,Channel,Activate
1000495000,76.31043337,103.91574816,AOM,1,
1000495000,76.31043337,103.91574816,AOM,5,
1000495000,76.31043337,103.91574816,AOM,7,
1000495000,76.31043337,103.91574816,AOM,9,
1000502500,76.11989556,103.83106469,AOM,1,
1000502500,76.11989556,103.83106469,AOM,5,
1000502500,76.11989556,103.83106469,AOM,7,
1000502500,76.11989556,103.83106469,AOM,9,
1000510000,75.92983349,103.74659266,AOM,1,
1000510000,75.92983349,103.74659266,AOM,5,
1000510000,75.92983349,103.74659266,AOM,7,
1000510000,75.92983349,103.74659266,AOM,9,
1000517500,75.74024599,103.66233155,AOM,1,
1000517500,75.74024599,103.66233155,AOM,5,
1000517500,75.74024599,103.66233155,AOM,7,
1000517500,75.74024599,103.66233155,AOM,9,
1000525000,75.55113187,103.57828083,AOM,1,
1000525000,75.55113187,103.57828083,AOM,5,
1000525000,75.55113187,103.57828083,AOM,7,
1000525000,75.55113187,103.57828083,AOM,9,
1000532500,75.36248994,103.49443997,AOM,1,
1000532500,75.36248994,103.49443997,AOM,5,
1000532500,75.36248994,103.49443997,AOM,7,
1000532500,75.36248994,103.49443997,AOM,9,
1000540000,75.17431903,103.41080846,AOM,1,
1000540000,75.17431903,103.41080846,AOM,5,
1000540000,75.17431903,103.41080846,AOM,7,
1000540000,75.17431903,103.41080846,AOM,9,
1000547500,74.98661795,103.32738576,AOM,1,
1000547500,74.98661795,103.32738576,AOM,5,
1000547500,74.98661795,103.32738576,AOM,7,
1000547500,74.98661795,103.32738576,AOM,9,
1000555000,74.79938555,103.24417135,AOM,1,
1000555000,74.79938555,103.24417135,AOM,5,
1000555000,74.79938555,103.24417135,AOM,7,
1000555000,74.79938555,103.24417135,AOM,9,
1000562500,74.61262064,103.16116473,AOM,1,
1000562500,74.61262064,103.16116473,AOM,5,
1000562500,74.61262064,103.16116473,AOM,7,
1000562500,74.61262064,103.16116473,AOM,9,
1000570000,74.42632205,103.07836536,AOM,1,
1000570000,74.42632205,103.07836536,AOM,5,
1000570000,74.42632205,103.07836536,AOM,7,
