Time,Amplitude,Frequency
5925000,,102.7714286
5940000,,102.7857143
5955000,,102.8
5970000,,102.8142857
5985000,,102.8285714
6000000,,102.8428571
6015000,,102.8571429
6030000,,102.8714286
6045000,,102.8857143
6060000,,102.9
6075000,,102.9142857
6090000,,102.9285714
6105000,,102.9428571
6120000,,102.9571429
6135000,,102.9714286
6150000,,102.9857143
6165000,,103
6180000,,103.0142857
6195000,,103.0285714
6210000,,103.0428571
6225000,,103.0571429
6240000,,103.0714286
6255000,,103.0857143
6270000,,103.1
6285000,,103.1142857
6300000,,103.1285714
6315000,,103.1428571
6330000,,103.1571429
6345000,,103.1714286
6360000,,103.1857143
6375000,,103.2
6390000,,103.2142857
6405000,,103.2285714
6420000,,103.2428571
6435000,,103.2571429
6450000,,103.2714286
6465000,,103.2857143
6480000,,103.3
6495000,,103.3142857
6510000,,103.3285714
6525000,,103.3428571
6540000,,103.3571429
6555000,,103.3714286
6570000,,103.3857143
6585000,,103.4
6600000,,103.4142857
6615000,,103.4285714
6630000,,103.4428571
6645000,,103.4571429
6660000,,103.4714286
6675000,,103.4857143
6690000,,103.5
6705000,,103.5142857
6720000,,103.5285714
6735000,,103.5428571
6750000,,103.5571429
6765000,,103.5714286
6780000,,103.5857143
6795000,,103.6
6810000,,103.6142857
6825000,,103.6285714
6840000,,103.6428571
6855000,,103.6571429
6870000,,103.6714286
6885000,,103.6857143
6900000,,103.7
6915000,,103.7142857
6930000,,103.7285714
6945000,,103.7428571
6960000,,103.7571429
6975000,,103.7714286
6990000,,103.7857143
7005000,,103.8
7020000,,103.8142857
7035000,,103.8285714
7050000,,103.8428571
7065000,,103.8571429
7080000,,103.8714286
7095000,,103.8857143
7110000,,103.9
7125000,,103.9142857
7140000,,103.9285714
7155000,,103.9428571
7170000,,103.9571429
7185000,,103.9714286
7200000,,103.9857143
7215000,,104
7230000,,104.0142857
7245000,,104.0285714
7260000,,104.0428571
7275000,,104.0571429
7290000,,104.0714286
7305000,,104.0857143
7320000,,104.1
7335000,,104.1142857
7350000,,104.1285714
7365000,,104.1428571
7380000,,104.1571429
7395000,,104.1714286
7410000,,104.1857143
7425000,,104.2
7440000,,104.2142857
7455000,,104.2285714
7470000,,104.2428571
7485000,,104.2571429
7500000,,104.2714286
7515000,,104.2857143
7530000,,104.3
7545000,,104.3142857
7560000,,104.3285714
7575000,,104.3428571
7590000,,104.3571429
7605000,,104.3714286
7620000,,104.3857143
